ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-12-31,184.5709320397539,146.7840408588869,180.18848744699173,182.18559031654698,186.87656055964368,-20.420050615828444,-20.420050615828444,-20.420050615828444,-20.420050615828444,-20.420050615828444,-20.420050615828444,0.0,0.0,0.0,164.15088142392545
2025-12-31,193.59810364888298,160.4819809433398,193.95754416144956,189.85597737956806,197.27790971390996,-15.928091682654143,-15.928091682654143,-15.928091682654143,-15.928091682654143,-15.928091682654143,-15.928091682654143,0.0,0.0,0.0,177.67001196622883
2026-12-31,202.62527525801204,175.2507588360847,210.81821966963884,197.51361375180352,207.71907434485874,-9.958455367425515,-9.958455367425515,-9.958455367425515,-9.958455367425515,-9.958455367425515,-9.958455367425515,0.0,0.0,0.0,192.6668198905865
2027-12-31,211.6524468671411,190.79957651631207,226.8620890282014,204.88171936796502,218.61222561834,-2.5217343982772618,-2.5217343982772618,-2.5217343982772618,-2.5217343982772618,-2.5217343982772618,-2.5217343982772618,0.0,0.0,0.0,209.13071246886383
2028-12-31,220.70435045328142,179.9529139875284,217.96680718115078,212.10999674877365,229.83969748328394,-20.420050615822195,-20.420050615822195,-20.420050615822195,-20.420050615822195,-20.420050615822195,-20.420050615822195,0.0,0.0,0.0,200.28429983745923
2029-12-31,229.73152206241053,193.16045452933093,234.06949079032776,219.2275637974742,241.29958708719917,-15.928091682604062,-15.928091682604062,-15.928091682604062,-15.928091682604062,-15.928091682604062,-15.928091682604062,0.0,0.0,0.0,213.80343037980646
2030-12-31,238.75869367153956,207.34627373834968,251.41339235263047,226.14604916865372,252.8428769816334,-9.958455367402147,-9.958455367402147,-9.958455367402147,-9.958455367402147,-9.958455367402147,-9.958455367402147,0.0,0.0,0.0,228.80023830413742
2031-12-31,247.78586528066865,222.7708925149619,266.498206813441,232.70998523587522,264.3423981153708,-2.5217343981254197,-2.5217343981254197,-2.5217343981254197,-2.5217343981254197,-2.5217343981254197,-2.5217343981254197,0.0,0.0,0.0,245.2641308825432
2032-12-31,256.83776886680903,211.08760555831944,261.47468067494754,239.45950983673964,275.8907736244953,-20.420050615766772,-20.420050615766772,-20.420050615766772,-20.420050615766772,-20.420050615766772,-20.420050615766772,0.0,0.0,0.0,236.41771825104226
2033-12-31,265.86494047593806,225.69413523298704,276.8154459624417,245.46805367557593,287.8176492265066,-15.928091682650964,-15.928091682650964,-15.928091682650964,-15.928091682650964,-15.928091682650964,-15.928091682650964,0.0,0.0,0.0,249.93684879328708
2034-12-31,274.8921120850671,235.48344123666982,292.73174677060643,252.18102439261693,299.5313223515603,-9.95845536731094,-9.95845536731094,-9.95845536731094,-9.95845536731094,-9.95845536731094,-9.95845536731094,0.0,0.0,0.0,264.93365671775615
2035-12-31,283.9192836941962,252.1089227013267,313.6952439997622,257.9628517194391,311.5708239787507,-2.5217343981495253,-2.5217343981495253,-2.5217343981495253,-2.5217343981495253,-2.5217343981495253,-2.5217343981495253,0.0,0.0,0.0,281.3975492960467
2036-12-31,292.97118728033655,240.02291304007716,307.73589906031253,264.16213784592406,323.61665584701666,-20.42005061583436,-20.42005061583436,-20.42005061583436,-20.42005061583436,-20.42005061583436,-20.42005061583436,0.0,0.0,0.0,272.55113666450217
2037-12-31,301.9983588894656,249.50997003988567,322.6796980195639,270.2379374481726,335.2687881930087,-15.928091682709944,-15.928091682709944,-15.928091682709944,-15.928091682709944,-15.928091682709944,-15.928091682709944,0.0,0.0,0.0,286.07026720675566
2038-12-31,311.0255304985947,261.6623225385728,340.2744702625635,275.6503474822054,347.31687536115624,-9.958455367387318,-9.958455367387318,-9.958455367387318,-9.958455367387318,-9.958455367387318,-9.958455367387318,0.0,0.0,0.0,301.0670751312074
2039-12-31,320.05270210772375,274.31474040187305,358.99674700249443,281.48473968472587,359.78509858956704,-2.5217343982954055,-2.5217343982954055,-2.5217343982954055,-2.5217343982954055,-2.5217343982954055,-2.5217343982954055,0.0,0.0,0.0,317.53096770942835
2040-12-31,329.1046056938641,263.4714457918542,354.27188445725267,287.03485211665077,372.08148319126536,-20.420050615831162,-20.420050615831162,-20.420050615831162,-20.420050615831162,-20.420050615831162,-20.420050615831162,0.0,0.0,0.0,308.68455507803293
2041-12-31,338.1317773029931,273.3862126550546,368.8712343466964,293.23886921649836,384.4367715823233,-15.92809168261229,-15.92809168261229,-15.92809168261229,-15.92809168261229,-15.92809168261229,-15.92809168261229,0.0,0.0,0.0,322.20368562038084
2042-12-31,347.15894891212224,286.81850340922966,389.31404493540896,299.521040221901,395.8882367465273,-9.958455367407907,-9.958455367407907,-9.958455367407907,-9.958455367407907,-9.958455367407907,-9.958455367407907,0.0,0.0,0.0,337.20049354471433
2043-12-31,356.18612052125127,295.2664283509902,411.0537701575278,304.6655426135815,408.6438054024192,-2.5217343981324083,-2.5217343981324083,-2.5217343981324083,-2.5217343981324083,-2.5217343981324083,-2.5217343981324083,0.0,0.0,0.0,353.66438612311885
2044-12-31,365.2380241073916,284.28713034990943,404.79804624707793,308.9350584374107,422.1621185460698,-20.42005061575568,-20.42005061575568,-20.42005061575568,-20.42005061575568,-20.42005061575568,-20.42005061575568,0.0,0.0,0.0,344.81797349163594
2045-12-31,374.26519571652074,296.8091763186893,420.49797389461366,313.6384216733783,434.1602334190424,-15.928091682627894,-15.928091682627894,-15.928091682627894,-15.928091682627894,-15.928091682627894,-15.928091682627894,0.0,0.0,0.0,358.33710403389284
2046-12-31,383.2923673256497,302.73393186225974,438.53978351855596,318.62704859268285,447.7587129596738,-9.9584553674183,-9.9584553674183,-9.9584553674183,-9.9584553674183,-9.9584553674183,-9.9584553674183,0.0,0.0,0.0,373.3339119582314
2047-12-31,392.3195389347788,320.76978764309285,457.6818148513276,324.1055933638086,460.28543645576906,-2.521734398156793,-2.521734398156793,-2.521734398156793,-2.521734398156793,-2.521734398156793,-2.521734398156793,0.0,0.0,0.0,389.797804536622
2048-12-31,401.37144252091923,305.95405959774115,455.22675645396833,328.218292992033,473.41491193837965,-20.4200506157909,-20.4200506157909,-20.4200506157909,-20.4200506157909,-20.4200506157909,-20.4200506157909,0.0,0.0,0.0,380.95139190512833
2049-12-31,410.3986141300482,317.1902065734876,472.0140959498616,332.5270643988929,485.8802829987266,-15.928091682701366,-15.928091682701366,-15.928091682701366,-15.928091682701366,-15.928091682701366,-15.928091682701366,0.0,0.0,0.0,394.4705224473468
